id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
111,Julius Anglickas,205.0,1991-07-23,6.0,3.0
112,Collin Anglin,145.0,1993-02-20,5.0,9.0
113,Magomed Ankalaev,205.0,1992-06-02,6.0,3.0
114,Yoji Anjo,205.0,1967-03-28,5.0,11.0
115,Nina Ansaroff,115.0,1985-12-03,5.0,5.0
116,Angelo Antonio,205.0,1998-10-04,,
117,Adam Antolin,125.0,1982-02-28,5.0,5.0
118,Gadzhimurad Antigulov,205.0,1987-02-09,5.0,11.0
119,Azunna Anyanwu,251.0,1981-08-05,6.0,1.0
120,Shinsho Anzai,170.0,1985-12-01,5.0,7.0
121,Josh Appelt,255.0,1983-06-19,5.0,10.0
122,Aori Qileng,125.0,1993-06-25,5.0,7.0
123,Kenji Arai,145.0,1979-10-05,5.0,10.0
124,Erik Apple,170.0,1977-08-26,6.0,0.0
125,Romie Aram,170.0,1977-12-02,5.0,10.0
126,Shinya Aoki,154.0,1983-05-09,5.0,11.0
127,Igor Araujo,170.0,1980-12-06,6.0,1.0
128,Felipe Arantes,135.0,1988-02-09,5.0,8.0
129,Julio Arce,145.0,1989-10-27,5.0,7.0
130,Viviane Araujo,125.0,1986-11-21,5.0,4.0
131,Art Arciniega,145.0,1981-10-15,5.0,8.0
132,Tristan Arenal,155.0,1985-03-06,,
133,Joey Armstrong,,,,
134,Andrei Arlovski,240.0,1979-02-04,6.0,3.0
135,Akbarh Arreola,155.0,1983-01-14,5.0,10.0
136,Ricardo Arona,205.0,1978-07-17,5.0,11.0
137,Chalid Arrab,205.0,1975-05-28,5.0,11.0
138,Austin Arnett,145.0,1991-10-22,6.0,0.0
139,Matt Arroyo,170.0,1982-09-01,5.0,10.0
140,Antonio Arroyo,185.0,1989-07-01,6.0,3.0
141,Gilles Arsene,190.0,1970-12-23,5.0,9.0
142,Veta Arteaga,125.0,,5.0,7.0
143,Teddy Ash,185.0,1989-12-27,6.0,1.0
144,Cesar Arzamendia,155.0,1991-01-31,5.0,11.0
145,Askar Askar,145.0,1994-08-19,5.0,7.0
146,Arman Ashimov,125.0,1992-01-14,5.0,6.0
147,Askar Askarov,125.0,1992-10-09,5.0,6.0
148,Cyril Asker,247.0,1985-12-24,6.0,0.0
149,Scott Askham,185.0,1988-05-20,6.0,3.0
150,Ben Askren,170.0,1984-07-18,5.0,11.0
151,Ibo Aslan,205.0,1996-04-23,6.0,3.0
152,Tom Aspinall,256.0,1993-04-11,6.0,5.0
153,Bruno Assis,185.0,1992-05-23,6.0,2.0
154,Junior Assuncao,145.0,1981-06-24,5.0,9.0
155,Raphael Assuncao,135.0,1982-07-19,5.0,5.0
156,Bazigit Atajev,230.0,1979-03-12,6.0,1.0
157,Rich Attonito,170.0,1977-06-16,5.0,10.0
158,Pat Audinwood,155.0,1986-04-16,6.0,0.0
159,Olivier Aubin-Mercier,155.0,1989-02-23,5.0,9.0
160,Jose Augusto,251.0,1992-03-28,6.0,3.0
161,Marcus Aurelio,155.0,1973-08-18,5.0,10.0
162,David Avellan,185.0,1981-07-07,5.0,9.0
163,Levi Avera,170.0,1982-05-17,6.0,1.0
164,Blas Avena,170.0,1983-06-30,6.0,0.0
165,Anthony Avila,145.0,1988-12-29,5.0,7.0
166,Julia Avila,135.0,1988-05-11,5.0,7.0
167,Chris Avila,145.0,1993-01-16,5.0,10.0
168,Saad Awad,155.0,1983-06-07,5.0,11.0
