id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
487,Tim Caron,185.0,1987-07-24,6.0,1.0
488,Cody Carrillo,155.0,,5.0,10.0
489,Gabriel Carrasco,135.0,,5.0,6.0
490,Cain Carrizosa,155.0,1986-07-22,5.0,8.0
491,Roger Carroll,170.0,,5.0,10.0
492,Jonny Carson,155.0,,5.0,10.0
493,Scott Carson,215.0,,6.0,2.0
494,Shonie Carter,170.0,1972-05-03,5.0,10.0
495,Bruno Carvalho,154.0,1982-06-07,5.0,8.0
496,Antonio Carvalho,145.0,1979-05-30,5.0,9.0
497,Rafael Carvalho,185.0,1986-07-27,6.0,3.0
498,Shane Carwin,265.0,1975-01-04,6.0,2.0
499,Johnny Case,155.0,1989-06-28,5.0,10.0
500,Kevin Casey,185.0,1981-06-15,5.0,11.0
501,Cortney Casey,125.0,1987-05-05,5.0,7.0
502,Bendy Casimir,145.0,1980-06-10,5.0,5.0
503,Brandon Cash,255.0,,6.0,5.0
504,Dwayne Cason,212.0,,5.0,10.0
505,Joe Cason,205.0,1988-01-19,6.0,3.0
506,John Castaneda,135.0,1991-12-18,5.0,6.0
507,Eric Castile,145.0,,5.0,8.0
508,Gil Castillo,170.0,1965-10-21,5.0,9.0
509,Raul Castillo,185.0,,5.0,11.0
510,Jenna Castillo,125.0,1982-05-05,5.0,2.0
511,Tim Catalfo,235.0,,5.0,11.0
512,Danny Castillo,155.0,1979-08-25,5.0,9.0
513,Nick Catone,185.0,1981-09-01,6.0,0.0
514,Luke Caudillo,155.0,1980-11-30,5.0,7.0
515,Gesias Cavalcante,155.0,1983-07-06,5.0,8.0
516,Rafael Cavalcante,205.0,1980-04-14,6.0,1.0
517,Adam Cella,170.0,1985-06-26,6.0,2.0
518,Henry Cejudo,135.0,1987-02-09,5.0,4.0
519,Yosdenis Cedeno,155.0,1985-02-12,5.0,8.0
520,Magnus Cedenblad,185.0,1982-04-10,6.0,5.0
521,Jared Chaffee,155.0,1984-12-15,5.0,10.0
522,Luan Chagas,170.0,1993-06-17,6.0,0.0
523,Donald Cerrone,155.0,1983-03-29,6.0,1.0
524,Ansar Chalangov,170.0,1979-10-30,5.0,9.0
525,Donnie Chappell,178.0,,5.0,11.0
526,Alex Chambers,115.0,1978-10-25,5.0,3.0
527,Joe Charles,260.0,,6.0,1.0
528,Michael Chandler,155.0,1986-04-24,5.0,8.0
529,Dan Charles,228.0,1985-09-24,6.0,2.0
530,Emilio Chavez,145.0,,5.0,9.0
531,Ernest Chavez,145.0,1983-06-27,5.0,8.0
532,Danny Chavez,145.0,1987-03-14,5.0,8.0
533,Gabriel Checco,185.0,1986-04-03,6.0,1.0
534,Fabio Cherant,205.0,1994-11-25,6.0,1.0
535,Ion Cherdivara,205.0,,,
536,Albert Cheng,170.0,1985-02-07,5.0,11.0
537,Mark Cherico,145.0,1986-05-12,5.0,7.0
538,Macy Chiasson,135.0,1991-07-27,5.0,11.0
539,Giga Chikadze,145.0,1988-08-25,6.0,0.0
540,Michael Chiesa,170.0,1987-12-07,6.0,1.0
541,Khamzat Chimaev,170.0,1994-05-01,6.0,2.0
542,Mu Bae Choi,230.0,1970-06-27,6.0,2.0
543,Dooho Choi,145.0,1991-04-10,5.0,10.0
544,Hong Man Choi,330.0,1980-10-30,7.0,2.0
545,Sako Chivitchian,155.0,1984-03-11,5.0,11.0
546,SeungWoo Choi,145.0,1992-11-03,6.0,0.0
547,John Cholish,155.0,1983-12-17,5.0,11.0
548,Joachim Christensen,205.0,1978-11-07,6.0,3.0
549,Will Chope,145.0,1990-09-08,6.0,4.0
550,Anthony Christodoulou,155.0,1987-07-30,5.0,9.0
551,Ryo Chonan,170.0,1976-10-08,5.0,9.0
552,Dan Christison,265.0,1972-04-26,6.0,8.0
553,Katlyn Chookagian,125.0,1988-12-28,5.0,9.0
554,Murad Chunkaiev,185.0,,5.0,11.0
555,Mike Ciesnolevicz,235.0,1979-10-28,6.0,0.0
556,Steven Ciaccio,170.0,,6.0,0.0
557,Nikolajus Cilkinas,,,,
558,Cameron Church,155.0,1990-09-27,5.0,11.0
559,Branko Cikatic,215.0,1954-10-03,6.0,1.0
560,Hannah Cifers,115.0,1992-06-26,5.0,1.0
561,Misha Cirkunov,205.0,1987-02-27,6.0,3.0
562,Johnny Cisneros,170.0,1980-02-05,5.0,11.0
563,Dominic Clark,155.0,1985-08-01,5.0,10.0
564,Logan Clark,185.0,1985-02-16,6.0,2.0
565,Mychal Clark,224.0,,6.0,3.0
566,Laverne Clark,170.0,1973-12-02,5.0,11.0
567,Devin Clark,205.0,1990-04-12,6.0,0.0
568,Jessica-Rose Clark,125.0,1987-11-28,5.0,5.0
569,Heather Clark,115.0,1980-09-19,5.0,6.0
570,John Clarke,170.0,1977-08-15,,
571,Rich Clementi,155.0,1976-03-31,5.0,9.0
572,Chris Clements,170.0,1976-02-09,5.0,10.0
573,Mitch Clarke,155.0,1985-11-24,5.0,10.0
574,RJ Clifford,160.0,,,
575,Brian Cobb,155.0,1980-09-03,5.0,11.0
576,Josh Clopton,145.0,1981-07-11,5.0,6.0
577,Darryl Cobb,185.0,1980-08-04,5.0,9.0
578,Dave Cochran,155.0,1973-05-10,5.0,6.0
579,Dakota Cochrane,155.0,1986-05-01,5.0,8.0
580,Marc Cofer,185.0,1972-03-03,,
581,Marloes Coenen,145.0,1981-03-31,5.0,9.0
582,John Cofer,155.0,1984-04-29,5.0,9.0
583,Felipe Colares,135.0,1994-03-31,5.0,8.0
584,Chris Coggins,,,,
585,Wayne Cole,205.0,1971-01-06,6.0,1.0
586,Devin Cole,240.0,1976-10-01,6.0,4.0
587,Ivan Cole,135.0,1990-11-30,5.0,9.0
588,Coltin Cole,185.0,1989-04-24,,
589,Cortez Coleman,185.0,1982-01-28,6.0,1.0
590,Mark Coleman,205.0,1964-12-20,6.0,1.0
591,Clay Collard,145.0,1993-03-10,5.0,11.0
592,Jamie Colleen,115.0,1985-11-02,5.0,3.0
593,Jake Collier,230.0,1988-10-25,6.0,3.0
594,Christian Colombo,265.0,1980-07-01,6.0,5.0
595,Wes Combs,205.0,1973-06-18,6.0,2.0
596,Carlos Condit,170.0,1984-04-26,6.0,2.0
597,Montserrat Conejo,115.0,1993-02-03,5.0,0.0
598,Chris Condo,335.0,,6.0,0.0
599,Tristan Connelly,170.0,1985-12-12,5.0,10.0
600,Jeremiah Constant,240.0,1974-07-19,6.0,1.0
601,Marcos Conrado Jr.,220.0,1982-03-14,6.0,2.0
602,Jonathan Contrestano,155.0,,,
603,TJ Cook,205.0,1982-09-08,,
604,Mike Cook,205.0,1981-10-07,6.0,1.0
605,Dewey Cooper,205.0,1974-11-10,,
606,Bob Cook,170.0,,5.0,9.0
607,Brett Cooper,170.0,1987-07-02,6.0,0.0
608,Chad Cook,205.0,1979-11-07,6.0,2.0
609,Bill Cooper,155.0,1984-05-05,,
610,Bobby Cooper,155.0,,6.0,1.0
611,Michael Cora,170.0,1989-08-24,6.0,1.0
612,Amanda Cooper,115.0,1991-10-22,5.0,3.0
613,Kit Cope,170.0,1977-03-17,6.0,0.0
614,Josh Copeland,265.0,1982-10-20,6.0,1.0
615,Akira Corassani,145.0,1982-08-27,5.0,8.0
616,Chris Cope,170.0,1983-03-05,6.0,0.0
617,Muhsin Corbbrey,155.0,1978-05-18,5.0,10.0
618,Daniel Cormier,235.0,1979-03-20,5.0,11.0
619,Clint Coronel,155.0,1981-06-15,,
620,Wesley Correira,260.0,1978-11-11,6.0,3.0
621,Henry Corrales,145.0,,5.0,9.0
622,Bethe Correia,135.0,1983-06-22,5.0,5.0
623,Chad Corvin,255.0,,6.0,5.0
624,Louis Cosce,170.0,1995-08-27,5.0,9.0
625,Tracy Cortez,135.0,1993-12-10,5.0,5.0
626,Orion Cosce,170.0,1994-07-15,5.0,11.0
627,Guilherme Costa,155.0,,,
628,Jadson Costa,155.0,1980-11-18,5.0,7.0
629,Miguel Cosio,205.0,1981-02-18,6.0,4.0
630,Randy Costa,135.0,1994-07-06,5.0,9.0
631,Paulo Costa,185.0,1991-04-21,6.0,1.0
632,Oscar Cota,230.0,1984-10-15,6.0,0.0
633,Patrick Cote,170.0,1980-02-29,5.0,11.0
634,JC Cottrell,155.0,1989-11-04,5.0,9.0
635,Rashad Coulter,205.0,1981-11-27,5.0,11.0
636,JR Coughran,145.0,1994-05-17,5.0,6.0
637,Dave Courchaine,170.0,1983-02-08,5.0,8.0
638,Kim Couture,135.0,1975-12-18,5.0,8.0
639,Ryan Couture,155.0,1982-08-27,5.0,10.0
640,Nikk Covert,185.0,1969-08-04,5.0,8.0
641,Colby Covington,170.0,1988-02-22,5.0,11.0
642,Jeff Cox,155.0,1968-08-02,5.0,10.0
643,Nathan Coy,170.0,1978-07-24,5.0,10.0
644,Andrew Craig,170.0,1986-01-15,6.0,1.0
645,Paul Craig,205.0,1987-11-27,6.0,3.0
646,Dan Cramer,170.0,1985-10-31,6.0,2.0
647,Alberto Crane,155.0,1976-07-14,5.0,5.0
648,Alexander Crispim,145.0,,,
649,Paul Creighton,155.0,1970-06-04,5.0,6.0
650,Tim Credeur,185.0,1977-07-09,6.0,3.0
651,Alex Crispin,155.0,,,
652,Randy Couture,205.0,1963-06-22,6.0,1.0
653,Kevin Croom,155.0,1987-07-15,5.0,11.0
654,Ken Cross,155.0,1994-10-04,6.0,0.0
655,Jeff Crotty,155.0,,,
656,Richard Crunkilton,155.0,1979-11-25,5.0,7.0
657,Marcio Cruz,232.0,1978-04-24,6.0,4.0
658,Jimmy Crute,205.0,1996-03-04,6.0,2.0
659,Dominick Cruz,135.0,1985-03-09,5.0,8.0
660,Aalon Cruz,145.0,1989-09-20,6.0,0.0
661,Jay Cucciniello,155.0,1986-07-23,5.0,7.0
662,Chris Culley,145.0,1986-03-25,,
663,Abel Cullum,139.0,1987-04-21,5.0,7.0
664,Everett Cummings,205.0,,,
665,Luke Cummo,170.0,1980-04-27,6.0,0.0
666,Alton Cunningham,205.0,1993-06-24,6.0,2.0
667,Allen Crowder,245.0,1989-11-08,6.0,3.0
668,Josh Culibao,155.0,1994-05-24,5.0,10.0
669,Patrick Cummins,205.0,1980-11-16,6.0,2.0
670,Larry Cureton,240.0,,6.0,2.0
671,Kailin Curran,115.0,1991-04-11,5.0,4.0
672,Jeff Curran,135.0,1977-09-02,5.0,6.0
673,Chris Curtis,170.0,1987-07-15,5.0,10.0
674,Pat Curran,145.0,1987-08-31,5.0,9.0
675,Daron Cruickshank,155.0,1985-06-11,5.0,8.0
676,Ion Cutelaba,205.0,1993-12-14,6.0,1.0
677,Marcos da Matta,145.0,1973-03-18,5.0,4.0
678,Gleidson Cutis,155.0,1989-02-07,5.0,9.0
679,Henrique da Silva,205.0,1989-09-01,6.0,3.0
680,Sarah D'alelio,145.0,1980-12-13,5.0,7.0
681,Alex Da Silva,155.0,1996-02-04,5.0,8.0
682,Zak Cummings,185.0,1984-08-02,6.0,0.0
683,Henrique Da Silva Lopes,240.0,1985-03-08,6.0,3.0
684,Nicolas Dalby,170.0,1984-11-16,5.0,11.0
685,Paul Daley,170.0,1983-02-21,5.0,9.0
686,Dave Dalgliesh,205.0,1978-04-05,6.0,2.0
687,Richard Dalton,205.0,1977-07-19,6.0,1.0
688,Marko Damiani,170.0,,6.0,0.0
689,Aisling Daly,115.0,1987-12-24,5.0,2.0
690,Carina Damm,135.0,,5.0,4.0
691,Rodrigo Damm,155.0,1980-02-03,5.0,7.0
692,Cindy Dandois,135.0,1984-10-26,5.0,7.0
693,Marques Daniels,155.0,1978-06-14,,
694,Jarjis Danho,265.0,1983-10-15,6.0,3.0
695,Alexandre Dantas,238.0,1979-03-01,6.0,2.0
696,Raymond Daniels,185.0,1980-04-29,6.0,2.0
697,Mac Danzig,155.0,1980-01-02,5.0,8.0
698,Eduardo Dantas,135.0,1989-02-03,5.0,10.0
699,Karen Darabedyan,155.0,1986-12-18,5.0,7.0
700,Beneil Dariush,155.0,1989-05-06,5.0,10.0
701,Sean Daugherty,175.0,1975-12-04,6.0,0.0
702,Kyle Daukaus,185.0,1993-02-27,6.0,3.0
703,Chris Daukaus,250.0,1989-09-25,6.0,3.0
704,Brian Davidson,145.0,1975-11-22,5.0,6.0
705,Rick Davis,155.0,,5.0,9.0
706,Marcus Davis,170.0,1973-08-24,5.0,10.0
707,LC Davis,135.0,1980-10-28,5.0,8.0
708,Phil Davis,205.0,1984-09-25,6.0,2.0
709,Mike Davis,145.0,1992-10-07,6.0,0.0
710,Lemont Davis,170.0,,5.0,8.0
711,Justin Davis,205.0,1983-04-01,5.0,11.0
712,Alexis Davis,135.0,1984-10-04,5.0,6.0
713,Danny Davis,170.0,1982-07-28,6.0,2.0
714,Hakeem Dawodu,145.0,1991-07-02,5.0,8.0
715,Brandon Davis,135.0,1990-05-08,5.0,10.0
716,Grant Dawson,145.0,1994-02-20,5.0,10.0
717,Jason Day,185.0,1981-05-19,6.0,0.0
718,Martin Day,145.0,1988-11-10,5.0,10.0
719,Angel De Anda,225.0,1985-05-28,5.0,9.0
720,Yorgan De Castro,250.0,1986-12-19,6.0,0.0
721,Geraldo de Freitas,135.0,1991-09-30,5.0,7.0
722,Philip De Fries,250.0,1986-04-21,6.0,5.0
723,Chris de la Rocha,250.0,1979-05-15,6.0,3.0
724,Montana De La Rosa,125.0,1995-02-14,5.0,7.0
725,Mark De La Rosa,135.0,1994-08-31,5.0,6.0
726,Rodrigo de Lima,155.0,1991-03-12,5.0,7.0
727,Mike de la Torre,145.0,1986-09-22,5.0,11.0
728,Edilberto de Oliveira,170.0,1982-11-22,6.0,0.0
729,Maria De Oliveira Neta,115.0,1996-12-12,5.0,5.0
730,Jorge de Oliveira,155.0,1980-01-22,5.0,8.0
731,Isabela de Padua,125.0,1991-09-04,5.0,3.0
732,Germaine de Randamie,135.0,1984-04-24,5.0,9.0
733,Gloria de Paula,115.0,1995-06-10,5.0,5.0
734,Tom DeBlass,185.0,1982-05-14,6.0,0.0
735,Crezio de Souza,170.0,,,
736,Issac DeJesus,145.0,,,
737,Johil de Oliveira,170.0,1969-08-07,5.0,6.0
738,Rafael  Del Real,225.0,,5.0,11.0
739,Humberto DeLeon,135.0,1989-11-12,,
740,Israel Delgado,155.0,,5.0,10.0
741,Rolando Delgado,155.0,1981-11-22,6.0,3.0
742,Ante Delija,245.0,1990-08-07,6.0,4.0
743,Jon Delos Reyes,125.0,1987-08-19,5.0,6.0
744,Roland Delorme,135.0,1983-12-18,5.0,9.0
745,Jason DeLucia,190.0,1969-07-24,5.0,11.0
746,Vanessa Demopoulos,115.0,1988-09-22,5.0,2.0
747,Nick Denis,135.0,1983-10-11,5.0,7.0
748,Justin DeMoney,170.0,1985-07-01,,
749,Chris Dempsey,185.0,1987-09-08,5.0,10.0
750,Thomas Denny,170.0,1971-04-19,5.0,10.0
751,Robert Densley,155.0,,5.0,9.0
752,Shane del Rosario,250.0,1983-09-23,6.0,4.0
753,Jason Dent,155.0,1980-06-12,5.0,10.0
754,Tony DeSouza,170.0,1974-07-26,6.0,0.0
755,Booker DeRousse,205.0,1981-03-23,6.0,2.0
756,Mackenzie Dern,115.0,1993-03-24,5.0,4.0
757,Cory Devela,185.0,1984-08-05,5.0,0.0
758,Alessio Di Chirico,185.0,1989-12-12,6.0,0.0
759,John Devine,,1978-01-17,,
760,Micol Di Segni,115.0,1987-12-29,5.0,3.0
761,Cyrille Diabate,205.0,1973-10-06,6.0,6.0
762,Edwin DeWees,185.0,1982-08-07,6.0,1.0
763,Tyler Diamond,145.0,1991-03-18,5.0,7.0
764,Thomas Diagne,154.0,1983-09-03,6.0,1.0
765,Eldo Xavier Dias,180.0,1964-07-16,5.0,11.0
766,Rafael Dias,145.0,1979-10-20,5.0,9.0
767,Marc Diakiese,155.0,1993-03-16,5.0,10.0
768,Hacran Dias,155.0,1984-06-16,5.0,8.0
769,Nick Diaz,185.0,1983-08-02,6.0,1.0
770,Nate Diaz,170.0,1985-04-16,6.0,0.0
771,Adrian Diaz,145.0,1988-04-26,5.0,10.0
772,Mark Dickman,145.0,1984-07-19,5.0,9.0
773,Michael Diaz,260.0,,,
774,Josh Diekmann,246.0,1976-10-09,5.0,4.0
775,Kyle Dietz,135.0,1986-04-29,5.0,8.0
776,Ryan Diaz,145.0,1979-02-06,,
777,Seth Dikun,135.0,1980-08-05,5.0,10.0
778,TJ Dillashaw,125.0,1986-02-07,5.0,6.0
779,Matt Dixon,170.0,1995-10-09,5.0,10.0
780,Rodolfo Marques Diniz,135.0,1984-01-23,5.0,6.0
781,Ralph Dillon,205.0,,6.0,2.0
782,Drew Dimanlig,185.0,,,
783,Rico DiSciullo,135.0,1986-10-12,5.0,8.0
784,Helio Dipp,185.0,1979-12-12,6.0,5.0
785,John Dixson,275.0,1961-10-15,6.0,0.0
786,Anthony Do,125.0,,5.0,4.0
787,Russell Doane,135.0,1986-08-13,5.0,7.0
788,David Dodd,200.0,1973-09-22,6.0,2.0
789,Drew Dober,155.0,1988-10-19,5.0,8.0
790,Shana Dobson,125.0,1989-03-30,5.0,6.0
791,Joe Doerksen,185.0,1977-10-09,6.0,0.0
792,Mike Dolce,185.0,1976-04-15,5.0,11.0
793,John Dodson,135.0,1984-09-26,5.0,3.0
794,Cameron Dollar,155.0,1987-05-12,5.0,11.0
795,OJ Dominguez,,,,
796,John Donaldson,145.0,1992-07-09,5.0,8.0
797,CB Dollaway,185.0,1983-08-10,6.0,2.0
798,Dennis Dombrow,145.0,1986-03-17,,
799,Cody Donovan,205.0,1981-02-20,6.0,3.0
800,Houston Dorr,210.0,,6.0,1.0
801,Roman Dolidze,205.0,1988-07-15,6.0,2.0
802,Geronimo dos Santos,264.0,1980-08-17,6.0,3.0
803,Anderson Dos Santos,135.0,1985-07-24,5.0,5.0
804,Antonio Dos Santos,185.0,1988-07-21,5.0,10.0
805,Oleksandr Doskalchuk,125.0,1990-03-13,5.0,6.0
806,Tiago dos Santos e Silva,145.0,1987-04-12,5.0,9.0
807,Junior Dos Santos,238.0,1984-01-30,6.0,4.0
808,Rafael Dos Anjos,155.0,1984-10-26,5.0,8.0
809,David Douglas,155.0,1981-08-16,5.0,11.0
810,Jordan Dowdy,170.0,,,
811,Damion Douglas,170.0,1982-08-16,,
812,Derek Downey,185.0,1980-04-27,6.0,1.0
813,John Dowdy,,,,
814,John Doyle,205.0,1976-11-21,5.0,11.0
815,Kyle Driscoll,145.0,1994-09-23,5.0,11.0
816,Edson Drago,220.0,1977-08-29,6.0,4.0
817,Danny Downes,155.0,1986-04-08,6.0,0.0
818,Chris Drumm,145.0,,5.0,8.0
819,Hugo Duarte,240.0,1968-08-09,6.0,0.0
820,Tomasz Drwal,205.0,1982-01-22,6.0,1.0
821,Robert Drysdale,205.0,1981-10-05,6.0,3.0
822,Dricus Du Plessis,185.0,1994-01-14,6.0,1.0
823,Joe Duarte,155.0,1977-01-25,,
824,Antonio Duarte,135.0,1987-03-10,5.0,7.0
825,Norma Dumont,135.0,1990-10-01,5.0,7.0
826,Jessamyn Duke,135.0,1986-06-24,5.0,11.0
827,Adin Duenas,145.0,1988-07-02,5.0,6.0
828,Joe Duffy,155.0,1988-02-18,5.0,10.0
829,Milana Dudieva,135.0,1989-08-04,5.0,3.0
830,Todd Duffee,260.0,1985-12-06,6.0,3.0
831,Alexis Dufresne,135.0,1990-08-31,5.0,9.0
832,Kelly Dullanty,155.0,1977-11-04,5.0,8.0
833,Alex Dunworth,155.0,,5.0,8.0
834,Cody Durden,125.0,1991-03-29,5.0,7.0
835,Luiz Dutra,170.0,1982-05-06,5.0,11.0
836,Reuben Duran,135.0,1983-07-02,5.0,7.0
837,Rilley Dutro,125.0,1987-09-03,5.0,8.0
838,Tom Duquesnoy,135.0,1993-06-21,5.0,7.0
839,Evan Dunham,155.0,1981-12-18,5.0,10.0
840,Bill Duvall,185.0,,6.0,2.0
841,David Dvorak,125.0,1992-06-05,5.0,5.0
842,Matt Dwyer,170.0,1989-12-17,6.0,4.0
843,Merab Dvalishvili,135.0,1991-01-10,5.0,6.0
844,Ben Earwood,170.0,,5.0,8.0
845,Rolando Dy,145.0,1990-08-11,5.0,8.0
846,Cody East,245.0,1988-06-29,6.0,3.0
847,Mike Easton,135.0,1984-01-25,5.0,6.0
848,Marvin Eastman,185.0,1971-06-08,5.0,9.0
849,Vincent Eazelle,155.0,1980-12-07,5.0,11.0
850,Maurice Eazel,135.0,,5.0,7.0
851,Brian Ebersole,170.0,1980-11-27,6.0,0.0
852,Ross Ebanez,154.0,1975-05-18,5.0,9.0
853,Mark Eddiva,145.0,1986-02-16,5.0,8.0
854,Johnny Eduardo,135.0,1978-08-03,5.0,7.0
855,Abdul-Kerim Edilov,205.0,1991-11-25,6.0,2.0
856,Frankie Edgar,135.0,1981-10-16,5.0,6.0
857,Adli Edwards,145.0,1989-08-28,,
858,Stephanie Egger,135.0,1988-08-12,5.0,6.0
859,Tom Egan,170.0,,5.0,11.0
860,Joselyne Edwards,135.0,1995-09-29,5.0,8.0
861,Te Edwards,155.0,1990-09-11,5.0,8.0
862,Justin Edwards,155.0,1983-01-26,5.0,10.0
863,Leon Edwards,170.0,1991-08-25,6.0,2.0
864,Yves Edwards,155.0,1976-09-30,5.0,9.0
865,John Elam,,,,
866,Jon Olav Einemo,253.0,1975-12-10,6.0,6.0
867,John Paul Elias,205.0,,6.0,4.0
868,Per Eklund,155.0,1980-11-12,5.0,10.0
869,Saul Elizondo,135.0,1985-07-17,5.0,7.0
870,Justin Eilers,235.0,1978-06-28,6.0,1.0
871,Jake Ellenberger,170.0,1985-03-28,5.0,9.0
872,Darren Elkins,145.0,1984-05-16,5.0,10.0
873,Joe Ellenberger,155.0,1985-03-28,5.0,9.0
874,Eddy Ellis,170.0,1983-07-07,5.0,9.0
875,Cameron Else,135.0,1987-04-27,5.0,9.0
876,Lisa Ellis,115.0,1982-11-15,5.0,4.0
877,Anna Elmose,115.0,1984-10-06,5.0,3.0
878,Tim Elliott,125.0,1986-12-24,5.0,7.0
879,Aaron Ely,135.0,1989-03-18,5.0,8.0
880,Sovannahry Em,135.0,1992-06-26,5.0,4.0
881,Aleksander Emelianenko,255.0,1981-08-02,6.0,6.0
882,Rob Emerson,155.0,1981-07-30,5.0,9.0
883,Ramazan Emeev,170.0,1987-05-23,5.0,10.0
884,Josh Emmett,145.0,1985-03-04,5.0,6.0
885,Jamall Emmers,145.0,1989-07-24,5.0,10.0
886,Fedor Emelianenko,230.0,1976-09-28,6.0,0.0
887,Kevin Engel,170.0,,6.0,2.0
888,Marius Enache,155.0,1975-10-16,5.0,11.0
889,Oliver Enkamp,170.0,1991-08-10,6.0,0.0
890,Alex Enlund,145.0,1987-05-27,5.0,10.0
891,Ian Entwistle,135.0,1986-11-19,5.0,5.0
892,Kenny Ento,192.0,,6.0,2.0
893,Won Jin Eoh,160.0,,5.0,7.0
894,Andy Enz,185.0,1991-08-15,6.0,3.0
895,Josh Epps,130.0,1986-08-23,,
896,Tom Erikson,280.0,1964-07-06,6.0,3.0
897,Konstantin Erokhin,230.0,1983-01-31,5.0,11.0
898,Julian Erosa,145.0,1989-07-31,6.0,1.0
899,Nick Ertl,155.0,1968-10-29,5.0,9.0
900,Chel Erwin-Davis,170.0,,6.0,0.0
901,Bobby Escalante,130.0,,,
902,Eric Esch,350.0,1968-08-03,5.0,11.0
903,Pro Escobedo,205.0,,,
904,Cole Escovedo,135.0,1981-08-30,5.0,7.0
905,Evan Esguerra,145.0,1978-07-13,,
906,Efrain Escudero,155.0,1986-01-15,5.0,9.0
907,Carla Esparza,115.0,1987-10-10,5.0,1.0
908,Juan Espino,250.0,1980-10-09,6.0,3.0
909,Jodie Esquibel,115.0,1986-05-07,5.0,1.0
910,Jordan Espinosa,125.0,1989-11-08,5.0,6.0
911,Fred Ettish,180.0,1955-10-12,6.0,0.0
912,Terry Etim,155.0,1986-01-11,6.0,1.0
913,Scott Ettling,135.0,,,
914,Sijara Eubanks,135.0,1985-04-27,5.0,4.0
915,Billy Evangelista,155.0,1980-10-07,5.0,8.0
916,Rashad Evans,205.0,1979-09-25,6.0,0.0
917,Doug Evans,155.0,1980-10-10,5.0,9.0
918,Ashlee Evans-Smith,135.0,1987-07-09,5.0,8.0
919,Dan Evensen,250.0,1974-06-01,6.0,3.0
920,Tonya Evinger,135.0,1981-06-04,5.0,7.0
921,Andre Ewell,135.0,1988-01-21,5.0,8.0
922,Movsar Evloev,145.0,1994-02-11,5.0,7.0
923,Neal Ewing,185.0,1985-09-30,,
924,Edward Faaloloto,155.0,1984-07-15,,
925,Jessica Eye,125.0,1986-07-27,5.0,6.0
926,Wagnney Fabiano,145.0,1975-07-14,5.0,6.0
927,Melinda Fabian,125.0,1987-06-25,5.0,6.0
928,Urijah Faber,135.0,1979-05-14,5.0,6.0
929,Ron Faircloth,205.0,1979-08-16,5.0,9.0
930,Jason Fairn,230.0,,6.0,1.0
931,Bartosz Fabinski,170.0,1986-04-26,6.0,0.0
932,Rinat Fakhretdinov,185.0,1991-09-28,6.0,0.0
933,Zarah Fairn,145.0,1986-12-12,5.0,8.0
934,Maiquel Falcao,185.0,1981-03-08,5.0,11.0
935,Brodie Farber,170.0,1980-07-05,6.0,1.0
936,Joao Paulo Faria,155.0,,5.0,9.0
937,Chance Farrar,145.0,1975-09-11,5.0,9.0
938,Rico Farrington,170.0,1989-06-19,6.0,4.0
939,Kalindra Faria,125.0,1986-07-23,5.0,7.0
940,Kelly Faszholz,135.0,1985-04-09,5.0,8.0
941,Rodney Faverus,215.0,1975-01-03,6.0,0.0
942,Carlos Felipe,245.0,1995-01-12,6.0,0.0
943,Paul Felder,155.0,1984-04-25,5.0,11.0
944,Kevin Ferguson,235.0,1974-02-08,6.0,2.0
945,JP Felty,170.0,1979-04-28,,
946,Josh Ferguson,125.0,1988-05-13,5.0,5.0
947,Rhadi Ferguson,205.0,,5.0,7.0
948,Tony Ferguson,155.0,1984-02-12,5.0,11.0
949,CJ Fernandes,170.0,1977-11-13,6.0,2.0
950,Bibiano Fernandes,139.0,1980-03-30,5.0,7.0
951,Alexandre Ferreira,205.0,1979-04-25,5.0,7.0
952,Cezar Ferreira,185.0,1985-02-15,6.0,1.0
953,Diego Ferreira,155.0,1985-01-18,5.0,9.0
954,Timo Feucht,205.0,1996-01-18,6.0,3.0
955,Scott Ferrozzo,323.0,1965-04-26,5.0,11.0
956,Drew Fickett,155.0,1979-12-14,5.0,10.0
957,Scott Fiedler,235.0,,6.0,4.0
958,Ron Fields,200.0,1974-11-18,6.0,2.0
959,Deiveson Figueiredo,125.0,1987-12-18,5.0,5.0
960,Francisco Figueiredo,135.0,1989-10-23,5.0,6.0
961,Edwin Figueroa,135.0,1984-07-31,5.0,7.0
962,Anthony Figueroa,135.0,,5.0,4.0
963,Paulo Filho,185.0,1978-05-24,5.0,8.0
964,Andre Fili,145.0,1990-06-25,5.0,11.0
965,Brady Fink,183.0,1981-05-23,6.0,0.0
966,Jan Finney,135.0,1980-04-18,5.0,8.0
967,Jesse Finney,170.0,1974-07-11,6.0,0.0
968,Mirko Filipovic,230.0,1974-09-10,6.0,2.0
969,Luigi Fioravanti,170.0,1981-01-22,5.0,8.0
970,Manon Fiorot,125.0,1990-02-17,5.0,7.0
971,Luiz Firmino,154.0,1982-03-18,5.0,6.0
972,Spencer Fisher,155.0,1976-05-09,5.0,7.0
973,Chris Fishgold,145.0,1992-06-06,5.0,8.0
974,Bryanna Fissori,145.0,,5.0,4.0
975,Isi Fitikefu,205.0,,5.0,10.0
976,Jimmy Flick,125.0,1990-09-07,5.0,7.0
977,Alejandro Flores,145.0,1991-08-06,5.0,10.0
978,Colin Fletcher,155.0,1983-01-08,6.0,2.0
979,Ty Flores,205.0,1993-12-22,6.0,3.0
